duid,fy_start,fy_label,curtailment_pct,metric_version,generation_mwh,months_covered
CLARESF1,2024,FY24-25,0.1872,2.0-proxy,188210.0,12
CLARESF1,2025,FY25-26,0.3124,2.0-proxy,161535.0,12
CLARESF1,2026,FY26-27,0.2379,2.0-proxy,28380.0,2
CLEMGPWF,2020,FY20-21,0.038,2.0-proxy,46628.0,4
CLEMGPWF,2021,FY21-22,0.0491,2.0-proxy,174856.0,12
CLEMGPWF,2022,FY22-23,0.0461,2.0-proxy,170335.0,12
CLEMGPWF,2023,FY23-24,0.0141,2.0-proxy,166606.0,12
CLEMGPWF,2024,FY24-25,0.0062,2.0-proxy,174474.0,12
CLEMGPWF,2025,FY25-26,0.0178,2.0-proxy,177863.0,12
CLEMGPWF,2026,FY26-27,0.0001,2.0-proxy,23121.0,2
CLERMSF1,2020,FY20-21,0.031,2.0-proxy,51185.0,4
CLERMSF1,2021,FY21-22,0.0725,2.0-proxy,151655.0,12
CLERMSF1,2022,FY22-23,0.0323,2.0-proxy,161731.0,12
CLERMSF1,2023,FY23-24,0.0335,2.0-proxy,162018.0,12
CLERMSF1,2024,FY24-25,0.0209,2.0-proxy,166288.0,12
CLERMSF1,2025,FY25-26,0.0783,2.0-proxy,136659.0,12
CLERMSF1,2026,FY26-27,0.0627,2.0-proxy,26549.0,2
CLRKCWF1,2024,FY24-25,0.0109,2.0-proxy,193262.0,9
CLRKCWF1,2025,FY25-26,0.0425,2.0-proxy,1186476.0,12
CLRKCWF1,2026,FY26-27,0.0378,2.0-proxy,165272.0,2
CLRKCWF2,2024,FY24-25,0.0,2.0-proxy,203.0,1
CLRKCWF2,2025,FY25-26,0.029,2.0-proxy,265040.0,12
CLRKCWF2,2026,FY26-27,0.0093,2.0-proxy,53928.0,2
CNUNDAWF,2021,FY21-22,0.0841,2.0-proxy,64322.0,7
CNUNDAWF,2022,FY22-23,0.1528,2.0-proxy,104869.0,12
CNUNDAWF,2023,FY23-24,0.1838,2.0-proxy,93209.0,12
CNUNDAWF,2024,FY24-25,0.2612,2.0-proxy,88459.0,12
